,label,y,y_error
Winter-Off,A,857.0857142857143,94.76538591356518
Winter-CC,A,858.3076923076923,138.15592340394832
Winter-SCB,A,881.7083333333334,129.41067677702983
Winter-Up,B,763.6363636363636,162.84754316246097
Spring-Off,B,776.0,122.02968181243136
Spring-CC,B,781.7941176470588,101.15793691397646
Spring-SCB,C,657.5416666666666,114.68361520819886
Spring-Up,D,548.5,127.63631057727177
Summer-Off,C,693.2727272727273,191.53325096675857
Summer-CC,C,662.9677419354839,136.2818435995828
Summer-SCB,C,618.9090909090909,105.55649460700658
Summer-Up,C,615.0416666666666,129.64389661899074
Fall-Off,B,758.1724137931035,135.11912214796124
Fall-CC,A,811.53125,121.48713521783901
Fall-SCB,A,815.3548387096774,143.30669758724147
Fall-Up,A,858.8,149.52411176796872
Off-2014,A,742.1041666666666,154.56797851637606
Off-2015,A,796.2,157.61776549615212
Off-2016,A,786.0196078431372,138.59879893604014
CC-2014,A,755.8684210526316,125.65809313844906
CC-2015,C,831.0232558139535,136.53868833651322
CC-2016,A,737.1666666666666,146.00977081895297
SCB-2014,A,733.0666666666667,145.968702886003
SCB-2015,B,820.0882352941177,155.66297826640786
SCB-2016,A,701.5945945945946,164.88742424297945
Up-2014,A,670.6896551724138,180.48175061977219
Up-2015,A,727.4166666666666,182.30375674193394
Up-2016,A,665.1,195.08508400182728
2014-Winter,A,893.6666666666666,86.63204436645317
2014-Spring,C,704.3260869565217,136.60321059754656
2014-Summer,D,638.4878048780488,141.34271133100904
2014-Fall,B,778.075,132.71706512351756
2015-Winter,A,889.7435897435897,115.32422921278943
2015-Spring,B,757.53125,95.90163723022407
2015-Summer,C,688.3529411764706,178.4358316615843
2015-Fall,A,857.9677419354839,148.03693607775134
2016-Winter,B,797.1538461538462,139.16703456942713
2016-Spring,C,694.4857142857143,180.858961850478
2016-Summer,D,635.0,129.56234020733032
2016-Fall,B,797.2682926829268,131.5361444141076
Winter-2014,A,893.6666666666666,86.63204436645317
Winter-2015,A,889.7435897435897,115.32422921278943
Winter-2016,D,797.1538461538462,139.16703456942713
Spring-2014,B,704.3260869565217,136.60321059754656
Spring-2015,B,757.53125,95.90163723022407
Spring-2016,B,694.4857142857143,180.858961850478
Summer-2014,C,638.4878048780488,141.34271133100904
Summer-2015,B,688.3529411764706,178.4358316615843
Summer-2016,C,635.0,129.56234020733032
Fall-2014,D,778.075,132.71706512351756
Fall-2015,A,857.9677419354839,148.03693607775134
Fall-2016,D,797.2682926829268,131.5361444141076
